Date,X(m),Y(m),Course (Degs),Speed (m/sec),Bearing (degs)
12/01/2010 12:00:00,12000,24000,205,6.17,-153.43
12/01/2010 12:00:50,11893.01,23710.51,200,6.17,-152.9
12/01/2010 12:01:40,11787.49,23420.44,199.99,6.17,-152.35
12/01/2010 12:02:30,11681.97,23130.37,199.99,6.17,-151.78
12/01/2010 12:03:20,11576.45,22840.3,199.99,6.17,-151.19
12/01/2010 12:04:10,11470.93,22550.23,199.99,6.17,-150.58
12/01/2010 12:05:00,11365.41,22260.16,199.99,6.17,-149.96
12/01/2010 12:05:50,11259.88,21970.09,199.99,6.17,-149.31
12/01/2010 12:06:40,11154.36,21680.02,199.99,6.17,-148.65
12/01/2010 12:07:30,11048.84,21389.95,199.99,6.17,-147.96
12/01/2010 12:08:20,10943.32,21099.88,199.99,6.17,-147.25
12/01/2010 12:09:10,10837.8,20809.81,199.99,6.17,-146.52
12/01/2010 12:10:00,10732.28,20519.74,199.99,6.17,-145.76
12/01/2010 12:10:50,10626.76,20229.67,199.99,6.17,-144.98
12/01/2010 12:11:40,10521.23,19939.6,199.99,6.17,-144.17
12/01/2010 12:12:30,10415.71,19649.53,199.99,6.17,-143.33
12/01/2010 12:13:20,10310.19,19359.46,199.99,6.17,-142.47
12/01/2010 12:14:10,10204.67,19069.39,199.99,6.17,-141.58
12/01/2010 12:15:00,10099.15,18779.32,199.99,6.17,-140.66
12/01/2010 12:15:50,9993.63,18489.26,199.99,6.17,-139.7
12/01/2010 12:16:40,9888.11,18199.19,199.99,6.17,-138.72
12/01/2010 12:17:30,9782.58,17909.12,199.99,6.17,-137.7
12/01/2010 12:18:20,9677.06,17619.05,199.99,6.17,-136.65
12/01/2010 12:19:10,9571.54,17328.98,199.99,6.17,-135.56
12/01/2010 12:20:00,9466.02,17038.91,199.99,6.17,-134.44
12/01/2010 12:20:50,9360.5,16748.84,199.99,6.17,-133.27
12/01/2010 12:21:40,9254.98,16458.77,199.99,6.17,-132.07
12/01/2010 12:22:30,9149.46,16168.7,199.99,6.17,-130.84
12/01/2010 12:23:20,9043.94,15878.63,199.99,6.17,-129.56
12/01/2010 12:24:10,8938.41,15588.56,199.99,6.17,-128.24
12/01/2010 12:25:00,8736.58,15365.16,244.2,6.17,-127.27
12/01/2010 12:25:50,8436.14,15345.79,288.42,6.17,-127.04
12/01/2010 12:26:40,8188.96,15525.65,312.68,6.17,-127.26
12/01/2010 12:27:30,7962.73,15735.64,312.87,6.17,-127.52
12/01/2010 12:28:20,7736.5,15945.63,312.87,6.17,-127.77
12/01/2010 12:29:10,7510.27,16155.62,312.87,6.17,-128.03
12/01/2010 12:30:00,7284.04,16365.61,312.87,6.17,-128.29
12/01/2010 12:30:50,7057.81,16575.6,312.87,6.17,-128.56
12/01/2010 12:31:40,6831.58,16785.59,312.87,6.17,-128.82
12/01/2010 12:32:30,6605.35,16995.58,312.87,6.17,-129.09
12/01/2010 12:33:20,6379.12,17205.56,312.87,6.17,-129.35
12/01/2010 12:34:10,6152.89,17415.55,312.87,6.17,-129.62
12/01/2010 12:35:00,5926.65,17625.54,312.87,6.17,-129.89
12/01/2010 12:35:50,5700.42,17835.53,312.87,6.17,-130.16
12/01/2010 12:36:40,5474.19,18045.52,312.87,6.17,-130.43
12/01/2010 12:37:30,5247.96,18255.51,312.87,6.17,-130.75
12/01/2010 12:38:20,5021.73,18465.5,312.87,6.17,-131.15
12/01/2010 12:39:10,4795.5,18675.49,312.87,6.17,-131.56
12/01/2010 12:40:00,4569.27,18885.48,312.87,6.17,-131.97
12/01/2010 12:40:50,4343.04,19095.47,312.87,6.17,-132.4
12/01/2010 12:41:40,4116.81,19305.45,312.87,6.17,-132.83
12/01/2010 12:42:30,3890.58,19515.44,312.87,6.17,-133.27
12/01/2010 12:43:20,3664.35,19725.43,312.87,6.17,-133.72
12/01/2010 12:44:10,3438.12,19935.42,312.87,6.17,-134.18
12/01/2010 12:45:00,3211.89,20145.41,312.87,6.17,-134.64
12/01/2010 12:45:50,2985.66,20355.4,312.87,6.17,-135.12
12/01/2010 12:46:40,2759.43,20565.39,312.87,6.17,-135.61
12/01/2010 12:47:30,2533.2,20775.38,312.87,6.17,-136.11
12/01/2010 12:48:20,2306.97,20985.37,312.87,6.17,-136.61
12/01/2010 12:49:10,2080.74,21195.36,312.87,6.17,-137.13
12/01/2010 12:50:00,1854.51,21405.35,312.87,6.17,-137.66
12/01/2010 12:50:50,1628.28,21615.33,312.87,6.17,-138.2
12/01/2010 12:51:40,1402.05,21825.32,312.87,6.17,-138.75
12/01/2010 12:52:30,1175.82,22035.31,312.87,6.17,-139.31
12/01/2010 12:53:20,949.59,22245.3,312.87,6.17,-139.89
12/01/2010 12:54:10,723.35,22455.29,312.87,6.17,-140.48
12/01/2010 12:55:00,596,22728.09,357.08,6.17,-140.91
12/01/2010 12:55:50,694.95,23012.43,41.29,6.17,-140.59
12/01/2010 12:56:40,951.99,23179.81,61.56,6.17,-139.41
12/01/2010 12:57:30,1223.6,23326.45,61.64,6.17,-138.16
12/01/2010 12:58:20,1495.22,23473.09,61.64,6.17,-136.93
12/01/2010 12:59:10,1766.83,23619.72,61.64,6.17,-135.73
12/01/2010 13:00:00,2038.45,23766.36,61.64,6.17,-134.56
12/01/2010 13:00:50,2310.06,23912.99,61.64,6.17,-133.42
12/01/2010 13:01:40,2581.67,24059.63,61.64,6.17,-132.3
12/01/2010 13:02:30,2853.29,24206.27,61.64,6.17,-131.21
12/01/2010 13:03:20,3124.9,24352.9,61.64,6.17,-130.15
12/01/2010 13:04:10,3396.51,24499.54,61.64,6.17,-129.12
12/01/2010 13:05:00,3668.13,24646.17,61.64,6.17,-128.11
12/01/2010 13:05:50,3939.74,24792.81,61.64,6.17,-127.13
12/01/2010 13:06:40,4211.36,24939.45,61.64,6.17,-126.17
12/01/2010 13:07:30,4482.97,25086.08,61.64,6.17,-125.24
12/01/2010 13:08:20,4754.58,25232.72,61.64,6.17,-124.33
12/01/2010 13:09:10,5026.2,25379.35,61.64,6.17,-123.45
12/01/2010 13:10:00,5297.81,25525.99,61.64,6.17,-122.6
12/01/2010 13:10:50,5569.43,25672.62,61.64,6.17,-121.76
12/01/2010 13:11:40,5841.04,25819.26,61.64,6.17,-120.95
12/01/2010 13:12:30,6112.65,25965.9,61.64,6.17,-120.16
12/01/2010 13:13:20,6384.27,26112.53,61.64,6.17,-119.39
12/01/2010 13:14:10,6655.88,26259.17,61.64,6.17,-118.64
12/01/2010 13:15:00,6927.5,26405.8,61.64,6.17,-117.91
12/01/2010 13:15:50,7199.11,26552.44,61.64,6.17,-117.2
12/01/2010 13:16:40,7470.73,26699.08,61.64,6.17,-116.52
12/01/2010 13:17:30,7742.34,26845.71,61.64,6.17,-115.84
12/01/2010 13:18:20,8013.95,26992.35,61.64,6.17,-115.19
12/01/2010 13:19:10,8285.57,27138.98,61.64,6.17,-114.56
12/01/2010 13:20:00,8557.18,27285.62,61.64,6.17,-113.94
12/01/2010 13:20:50,8828.8,27432.26,61.64,6.17,-113.33
12/01/2010 13:21:40,9100.41,27578.89,61.64,6.17,-112.75
12/01/2010 13:22:30,9372.03,27725.53,61.64,6.17,-112.18
12/01/2010 13:23:20,9643.64,27872.16,61.64,6.17,-111.62
12/01/2010 13:24:10,9915.25,28018.8,61.64,6.17,-111.08
12/01/2010 13:25:00,10186.87,28165.44,61.64,6.17,-110.55
12/01/2010 13:25:50,10458.48,28312.07,61.64,6.17,-110.03
12/01/2010 13:26:40,10730.1,28458.71,61.64,6.17,-109.53
12/01/2010 13:27:30,11001.71,28605.34,61.64,6.17,-109.04
12/01/2010 13:28:20,11273.33,28751.98,61.64,6.17,-108.57
12/01/2010 13:29:10,11544.94,28898.62,61.64,6.17,-108.1
12/01/2010 13:30:00,11816.56,29045.25,61.64,6.17,-107.65
12/01/2010 13:30:50,12088.17,29191.89,61.64,6.17,-107.2
12/01/2010 13:31:40,12359.79,29338.52,61.64,6.17,-106.77
12/01/2010 13:32:30,12631.4,29485.16,61.64,6.17,-106.35
12/01/2010 13:33:20,12903.02,29631.8,61.64,6.17,-105.94
12/01/2010 13:34:10,13174.63,29778.43,61.64,6.17,-105.54
12/01/2010 13:35:00,13446.25,29925.07,61.64,6.17,-105.14
12/01/2010 13:35:50,13717.86,30071.7,61.64,6.17,-104.76
12/01/2010 13:36:40,13989.48,30218.34,61.64,6.17,-104.39
12/01/2010 13:37:30,14261.09,30364.98,61.64,6.17,-104.02
12/01/2010 13:38:20,14532.71,30511.61,61.64,6.17,-103.66
12/01/2010 13:39:10,14804.32,30658.25,61.64,6.17,-103.31
12/01/2010 13:40:00,15075.94,30804.88,61.64,6.17,-102.97
12/01/2010 13:40:50,15347.55,30951.52,61.64,6.17,-102.64
12/01/2010 13:41:40,15619.17,31098.16,61.64,6.17,-102.33
12/01/2010 13:42:30,15890.78,31244.79,61.64,6.17,-102.12
12/01/2010 13:43:20,16162.4,31391.43,61.64,6.17,-101.92
12/01/2010 13:44:10,16434.01,31538.06,61.64,6.17,-101.72
12/01/2010 13:45:00,16705.63,31684.7,61.64,6.17,-101.53
12/01/2010 13:45:50,16977.24,31831.34,61.64,6.17,-101.35
12/01/2010 13:46:40,17248.86,31977.97,61.64,6.17,-101.17
12/01/2010 13:47:30,17520.47,32124.61,61.64,6.17,-101
12/01/2010 13:48:20,17792.09,32271.24,61.64,6.17,-100.84
12/01/2010 13:49:10,18063.7,32417.88,61.64,6.17,-100.67
12/01/2010 13:50:00,18335.32,32564.52,61.64,6.17,-100.52
12/01/2010 13:50:50,18606.93,32711.15,61.64,6.17,-100.36
12/01/2010 13:51:40,18878.55,32857.79,61.64,6.17,-100.22
12/01/2010 13:52:30,19150.16,33004.42,61.64,6.17,-100.07
12/01/2010 13:53:20,19421.78,33151.06,61.64,6.17,-99.93
12/01/2010 13:54:10,19693.4,33297.7,61.64,6.17,-99.79
12/01/2010 13:55:00,19965.01,33444.33,61.64,6.17,-99.66
12/01/2010 13:55:50,20236.63,33590.97,61.64,6.17,-99.53
12/01/2010 13:56:40,20508.24,33737.6,61.64,6.17,-99.41
12/01/2010 13:57:30,20779.86,33884.24,61.64,6.17,-99.28
12/01/2010 13:58:20,21051.47,34030.88,61.64,6.17,-99.17
12/01/2010 13:59:10,21323.09,34177.51,61.64,6.17,-99.05
12/01/2010 14:00:00,21594.71,34324.15,61.64,6.17,-98.94
